"MR","MR_ENT","MR_EDN","M002","M002_ENT","M002_EDN","M003","M003_ENT","M003_EDN","M004","M004_ENT","M004_EDN"
"MCCD","ORGANISATION DISPENSATRICE SERVICE","Identifiant ODS","","","","","","","SL - MED-ÉCHO","INSTALLATION","Code installation"
"MCCD","SÉJOUR INSTALLATION","Identifiant séjour installation","","","","","","","SL - MED-ÉCHO","SÉJOUR INSTALLATION","Identifiant séjour installation"
"MCCD","ÉLÉMENT TERRITORIAL","Identifiant élément territorial","","","","","","","SL - MED-ÉCHO","DOSSIER MÉDICAL","CODE POSTAL Code postal (13)"
"MCCD","SÉJOUR INSTALLATION","Date et Heure début séjour installation","","","","","","","SL - MED-ÉCHO","SÉJOUR INSTALLATION","Date admission "
"MCCD","SÉJOUR INSTALLATION","Date et Heure début séjour installation","","","","","","","SL - MED-ÉCHO","SÉJOUR INSTALLATION","Heure admission "
"MCCD","SÉJOUR INSTALLATION","Date et Heure fin séjour installation","","","","","","","SL - MED-ÉCHO","SÉJOUR INSTALLATION","Date sortie "
"MCCD","SÉJOUR INSTALLATION","Date et Heure fin séjour installation","","","","","","","SL - MED-ÉCHO","SÉJOUR INSTALLATION","Heure sortie "
"MCCD","SÉJOUR INSTALLATION","Type agent payeur séjour installation","","","","","","","SL - MED-ÉCHO","RESPONSABILITÉ DE PAIEMENT","Code responsabilité de paiement"
"MCCD","SÉJOUR URGENCE","Date et Heure début séjour urgence","","","","","","","SL - MED-ÉCHO","INSCRIPTION URGENCE","Date inscription urgence "
"MCCD","USAGER","Lieu de naissance","","","","","","","SL - MED-ÉCHO","DOSSIER MÉDICAL","Lieu naissance "
"MCCD","USAGER","Nom usager","","","","","","","SL - MED-ÉCHO","DOSSIER MÉDICAL","Nom père "
"MCCD","USAGER","Prénom usager","","","","","","","SL - MED-ÉCHO","DOSSIER MÉDICAL","Prénom père"
"MCCD","USAGER","Nom usager","","","","","","","SL - MED-ÉCHO","DOSSIER MÉDICAL","Nom mère "
"MCCD","USAGER","Prénom usager","","","","","","","SL - MED-ÉCHO","DOSSIER MÉDICAL","Prénom mère"
"MCCD","USAGER","Poids à la naissance usager","","","","","","","SL - MED-ÉCHO","NAISSANCE","Masse à la naissance "
"MCCD","NAISSANCE","Autopsie ?","","","","","","","SL - MED-ÉCHO","DÉCÈS","Code autopsie "
"MCCD","SÉJOUR INSTALLATION","Raison ou motif séjour installation","","","","","","","SL - MED-ÉCHO","DIAGNOSTIC","Identifiant diagnostic "
"MCCD","NAISSANCE","Cause mortinaissance","","","","","","","SL - MED-ÉCHO","DIAGNOSTIC","Identifiant diagnostic "
"MCCD","CODE DIAGNOSTIC","Identifiant code diagnostic","","","","","","","SL - MED-ÉCHO","DIAGNOSTIC","Identifiant diagnostic "
"MCCD","TRANSFERT","Identifiant transfert","","","","","","","SL - MED-ÉCHO","TYPE PROVENANCE","Code type provenance"
"MCCD","SÉJOUR URGENCE","Niveau priorité séjour urgence","","","","","","","SL - MED-ÉCHO","TYPE ADMISSION","Code type admission "
"MCCD","NAISSANCE","Identifiant naissance","","","","","","","SL - MED-ÉCHO","NAISSANCE","Identifiant naissance"
"MCCD","NAISSANCE","Durée grossesse","","","","","","","SL - MED-ÉCHO","NAISSANCE","Durée gestation "
"MCCD","ACCIDENT","Date accident","","","","","","","SL - MED-ÉCHO","ACCIDENT","Date accident "
"MCCD","ACCIDENT","Remarque accident","","","","","","","SL - MED-ÉCHO","ACCIDENT","Code cause extérieure accident "
"MCCD","TRANSFERT","Identifiant transfert","","","","","","","SL - MED-ÉCHO","TYPE DESTINATION SORTIE","Identifiant type destination sortie "
"MCCD","SPECIALITÉ MÉDECIN","Identifiant spécialité médecin","","","","","","","SL - MED-ÉCHO","SPÉCIALITÉ MÉDECIN","Code spécialité médecin "
"MCCD","SPECIALITÉ MÉDECIN","Description spécialité médecin","","","","","","","SL - MED-ÉCHO","SPÉCIALITÉ MÉDECIN","Nom spécialité médecin (cf.:31.4; cf.:33.3; cf.:35.7; cf.:35.9)"
"MCCD","CODE DIAGNOSTIC","Identifiant code diagnostic","","","","","","","SL - MED-ÉCHO","DÉCÈS","DIAGNOSTIC Identifiant diagnostic (24.3; 30; 31.6; 32.2; 37.5.1; 38.1)"
"MCCD","CODE DIAGNOSTIC","Identifiant code diagnostic","","","","","","","SL - MED-ÉCHO","DÉCÈS","DIAGNOSTIC Identifiant diagnostic (24.3; 30; 31.6; 32.2; 37.5.1; 38.1)"
"MCCD","CODE DIAGNOSTIC","Identifiant code diagnostic","","","","","","","SL - MED-ÉCHO","DÉCÈS","DIAGNOSTIC Identifiant diagnostic (24.3; 30; 31.6; 32.2; 37.5.1; 38.1)"
"MCCD","CODE DIAGNOSTIC","Identifiant code diagnostic","","","","","","","SL - MED-ÉCHO","DÉCÈS","DIAGNOSTIC Identifiant diagnostic (24.3; 30; 31.6; 32.2; 37.5.1; 38.1)"
